animal_id,section_id,region_name,area_pixels,file_path
M776,s038,RSPagl,883600,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s038_RSPagl.pkl
M776,s038,RSPd,1679600,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s038_RSPd.pkl
M776,s038,RSPv,1898800,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s038_RSPv.pkl
M776,s038,VISa,334000,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s038_VISa.pkl
M776,s038,VISam,1180180,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s038_VISam.pkl
M776,s038,VISp,2456400,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s038_VISp.pkl
M776,s038,VISrl,693600,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s038_VISrl.pkl
M776,s039,RSPagl,984740,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s039_RSPagl.pkl
M776,s039,RSPd,1841200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s039_RSPd.pkl
M776,s039,RSPv,2080800,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s039_RSPv.pkl
M776,s039,VISam,1040160,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s039_VISam.pkl
M776,s039,VISp,3221600,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s039_VISp.pkl
M776,s039,VISrl,1273840,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s039_VISrl.pkl
M776,s040,RSPagl,818800,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s040_RSPagl.pkl
M776,s040,RSPd,1915100,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s040_RSPd.pkl
M776,s040,RSPv,2332000,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s040_RSPv.pkl
M776,s040,VISal,7200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s040_VISal.pkl
M776,s040,VISam,758400,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s040_VISam.pkl
M776,s040,VISp,3097340,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s040_VISp.pkl
M776,s040,VISpm,3600,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s040_VISpm.pkl
M776,s040,VISrl,2518820,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s040_VISrl.pkl
M776,s041,RSPagl,1061200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s041_RSPagl.pkl
M776,s041,RSPd,1840880,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s041_RSPd.pkl
M776,s041,RSPv,3087160,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s041_RSPv.pkl
M776,s041,VISal,923780,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s041_VISal.pkl
M776,s041,VISam,821600,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s041_VISam.pkl
M776,s041,VISp,3227020,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s041_VISp.pkl
